,duration,batch_size,hidden_size,num_layers,dropout,stride,snrValMetric,c50ValMetric,vadValMetric,ValidationMetric,name,only_vad
189,8,64,256,2,0.5,10,30.589576721191406,16.22532844543457,83.90120587678433,0.23825796400970045,dur_8_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.5_only_vad,True
190,4,32,128,3,0.5,10,22.990659713745117,7.8505024909973145,80.98332534733102,0.1814412421558592,dur_4_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.5,False
191,6,32,128,2,0.5,10,23.785097122192383,8.44443130493164,81.10761301919611,0.18664268204237752,dur_6_bs_32_lstm_hs_128_lstm_nl_2_dropout_0.5,False
192,8,128,128,3,0.0,10,22.592641830444336,7.066058158874512,82.12822645162447,0.1724929019644689,dur_8_bs_128_lstm_hs_128_lstm_nl_3_dropout_0,False
193,6,64,256,3,0.5,10,23.125932693481445,6.75623893737793,82.3793616112532,0.1720516511501888,dur_6_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.5,False
194,8,32,256,3,0.0,10,28.605993270874023,16.559720993041992,81.15669213611544,0.2420387466791225,dur_8_bs_32_lstm_hs_256_lstm_nl_3_dropout_0_only_vad,True
195,8,32,128,2,0.0,10,23.080108642578125,7.335191249847412,82.6390020262141,0.17378231273046293,dur_8_bs_32_lstm_hs_128_lstm_nl_2_dropout_0,False
196,8,64,256,3,0.0,10,23.44800567626953,20.99740219116211,83.05879462718258,0.23873201818504394,dur_8_bs_64_lstm_hs_256_lstm_nl_3_dropout_0_only_vad,True
197,4,128,128,2,0.3,10,31.938819885253906,17.292678833007812,80.97123108148917,0.25784135409446046,dur_4_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.3_only_vad,True
198,2,64,256,3,0.5,10,23.340993881225586,8.28918170928955,80.1257026837877,0.18761817571911865,dur_2_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.5,False
199,8,64,256,3,0.0,10,24.119098663330078,6.917875289916992,81.9061237817525,0.17788360037537235,dur_8_bs_64_lstm_hs_256_lstm_nl_3_dropout_0,False
200,8,64,256,2,0.3,10,23.314237594604492,7.7830810546875,82.42829562811399,0.1774389810801026,dur_8_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.3,False
