,duration,batch_size,hidden_size,num_layers,dropout,stride,c50ValMetric,snrValMetric,vadOptiTh,vadValMetric,ValidationMetric,TrainLoss,vadLoss,snrLoss,c50Loss,best_epoch,name
41,2,64,256,2,0.5,10,6.450455665588379,4.755561351776123,0.4600003659725189,0.9701496958732605,0.07918731123209,0.5542303323745728,0.17287033796310425,0.21338720619678497,0.1679730862379074,4.0,dur_2_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.5
42,6,128,128,2,0.5,10,4.306758880615234,4.515493869781494,0.4200001657009125,0.9801885485649109,0.06445816159248352,0.42340514063835144,0.09010647237300873,0.2605779469013214,0.07272083312273026,15.0,dur_6_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.5
43,4,32,256,2,0.5,10,5.176690578460693,4.573668003082275,0.4000009000301361,0.9773985743522644,0.0692891851067543,0.4577215909957886,0.11570382118225098,0.24555616080760956,0.09646065533161163,5.0,dur_4_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.5
44,2,32,128,3,0.5,10,6.68085241317749,4.814676284790039,0.44000178575515747,0.9695723652839661,0.08018399029970169,0.5186818242073059,0.17646723985671997,0.16469743847846985,0.1775171011686325,4.0,dur_2_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.5
45,4,32,256,3,0.5,10,5.0893473625183105,4.542571544647217,0.4400006830692291,0.9779902100563049,0.06838333606719971,0.4519646167755127,0.11326763033866882,0.24435284733772278,0.0943434089422226,7.0,dur_4_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.5
46,6,32,128,3,0.5,10,4.247761249542236,4.5828657150268555,0.4799998104572296,0.9812098741531372,0.06406110525131226,0.39653804898262024,0.0888649970293045,0.24141328036785126,0.06626006960868835,13.0,dur_6_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.5
47,4,64,256,3,0.0,10,4.998684883117676,4.414817810058594,0.400000661611557,0.9790325164794922,0.06705828011035919,0.43154987692832947,0.10862851142883301,0.21721649169921875,0.10570462793111801,9.0,dur_4_bs_64_lstm_hs_256_lstm_nl_3_dropout_0
48,2,32,256,2,0.0,10,6.557148456573486,4.708329677581787,0.3800019919872284,0.9693485498428345,0.07886961847543716,0.5088083744049072,0.17575828731060028,0.1651695966720581,0.16788017749786377,2.0,dur_2_bs_32_lstm_hs_256_lstm_nl_2_dropout_0
49,6,128,128,3,0.0,10,4.167947292327881,4.391526222229004,0.43999990820884705,0.9811813235282898,0.06254609674215317,0.3935149013996124,0.08527446538209915,0.25069659948349,0.057543784379959106,17.0,dur_6_bs_128_lstm_hs_128_lstm_nl_3_dropout_0
50,4,128,128,2,0.0,10,5.124029159545898,4.424412727355957,0.47999972105026245,0.9779998064041138,0.06827327609062195,0.4852558672428131,0.11272738873958588,0.2585074305534363,0.11402102559804916,8.0,dur_4_bs_128_lstm_hs_128_lstm_nl_2_dropout_0
